id,resource_state,name,activity_type,distance,average_grade,maximum_grade,elevation_high,elevation_low,start_latlng,end_latlng,elevation_profile,elevation_profiles,climb_category,city,state,country,private,hazardous,starred,created_at,updated_at,total_elevation_gain,map,effort_count,athlete_count,star_count,athlete_segment_stats,xoms,local_legend
6641735,3,Ignacio Aldama Climb,Run,2528.7,4.0,10.6,2650.2,2548.5,"[19.216857, -99.131298]","[19.19988, -99.142123]",https://d3o5xota0a1fcr.cloudfront.net/v6/charts/H4QTFTT3U5AKV5CLVOWTQFSB6NDV6GDMHGCTFAC53BFWDLS7EBCZFDVB72SVCCK63S55FFBUEL7USYXS43NOXUBA,"{'light_url': 'https://d3o5xota0a1fcr.cloudfront.net/v6/charts/H4QTFTT3U5AKV5CLVOWTQFSB6NDV6GDMHGCTFAC53BFWDLS7EBCZFDVB72SVCCK63S55FFBUEL7USYXS43NOXUBA', 'dark_url': 'https://d3o5xota0a1fcr.cloudfront.net/v6/charts/VWT2F3EJOGFQTXXUOSGL65ECBFE22FHF7FO2CQNWI6CVUAY2KTWBH3CRHL2I3W3GOBI6BEFLPANMWWKEQ5SYDNIS'}",1,Mexico City,D.F.,Mexico,False,False,False,2014-02-11T05:56:11Z,2021-05-15T02:14:40Z,104.8,"{'id': 's6641735', 'polyline': 'ihhtBrq`|QlBnBxAjA|@n@jLhHdAf@jA`@f@JlALfEXj@?j@E~B]rAOh@EtABf@Hd@Pd@V`@X~@v@vDnDbBnAhBbAd@RlAd@nAZpATdDTtA?|GElAFf@Df@JfAb@^T\\Xv@z@T`@Pd@\\hAVlADh@CrAYlEYzF', 'resource_state': 3}",7,16,0,"{'pr_elapsed_time': None, 'pr_date': None, 'pr_visibility': None, 'pr_activity_id': None, 'pr_activity_visibility': None, 'effort_count': 0}","{'kom': '14:20', 'qom': '15:07', 'overall': '14:20', 'destination': {'href': 'strava://segments/6641735/leaderboard', 'type': 'overall', 'name': 'All-Time'}}","{'athlete_id': 172345549, 'title': 'Edith Martinez', 'profile': 'https://lh3.googleusercontent.com/a/ACg8ocLeHh0xLniLznSxZ2jyCxFHJGychRXp-UEpCzioL_D5os04tBGUAw=s96-c', 'effort_description': '2 efforts in the last 90 days', 'effort_count': '2', 'effort_counts': {'overall': '2 efforts', 'female': '2 efforts'}, 'destination': 'strava://segments/6641735/local_legend?categories%5B%5D=overall'}"
37271983,3,circuito monte sur 🏃‍♂️,Run,1322.8,0.0,16.0,2538.5,2522.3,"[19.206535, -99.126926]","[19.206525, -99.126903]",https://d3o5xota0a1fcr.cloudfront.net/v6/charts/LE2KPFKZFYU3SDV46VQ4TVHPHVSMV3DS7HPOX6XUSRUPRU7EB7REIKYCJYBDS63P6O2X2NHECEZZXEEQJEV53ZLM,"{'light_url': 'https://d3o5xota0a1fcr.cloudfront.net/v6/charts/LE2KPFKZFYU3SDV46VQ4TVHPHVSMV3DS7HPOX6XUSRUPRU7EB7REIKYCJYBDS63P6O2X2NHECEZZXEEQJEV53ZLM', 'dark_url': 'https://d3o5xota0a1fcr.cloudfront.net/v6/charts/32MVZZK44UKYMOYHPM2UV5WOQ37U44AMYVRJA2GE6FWXII7DFSXLFFOV5PGY55PT7I2URTQ6KTTMBDWDGFZ67KMJ'}",0,,Mexico City,Mexico,False,False,False,2024-07-08T01:34:41Z,2024-07-08T01:34:41Z,22.8655,"{'id': 's37271983', 'polyline': 'ygftBhv_|QRBJH@DIf@IPI\\?LDL`@b@@DCDBRUVQ?CDED?NK`@EBS?[PG^?h@IROHYBUCi@FI?a@UOQISGKa@Mc@Tw@h@SZSR_@NEHCNBLHNPHPBNAREn@]TIDAVBDHHBFJLLRJJNRJNVA@BFLNVLNAFEDI?GIa@_@a@e@YIQQSEKEUO]Cm@KUAOCI[a@AOIe@?QDKHGVKDEJ?ZJR@HGFODg@DU\\e@p@w@RMZMVA\\P', 'resource_state': 3}",683,47,2,"{'pr_elapsed_time': None, 'pr_date': None, 'pr_visibility': None, 'pr_activity_id': None, 'pr_activity_visibility': None, 'effort_count': 0}","{'kom': '5:46', 'qom': '6:58', 'overall': '5:46', 'destination': {'href': 'strava://segments/37271983/leaderboard', 'type': 'overall', 'name': 'All-Time'}}","{'athlete_id': 150409372, 'title': 'Rodrigo Guzmån McNaught', 'profile': 'https://dgalywyr863hv.cloudfront.net/pictures/athletes/150409372/33780569/4/large.jpg', 'effort_description': '15 efforts in the last 90 days', 'effort_count': '15', 'effort_counts': {'overall': '15 efforts', 'female': '6 efforts'}, 'destination': 'strava://segments/37271983/local_legend?categories%5B%5D=overall'}"
37272020,3,5K (4 vueltas) Montesur ,Run,4945.3,-0.0,28.3,2548.0,2526.6,"[19.206476, -99.126898]","[19.20653, -99.126951]",https://d3o5xota0a1fcr.cloudfront.net/v6/charts/MXLX5PZZIK2EDI5GRS42MAPOEALGSQN7KQNIO2D6US6MJ2DQOFADDZOYRYU54VKEFEEVHRG2BNM62NTAYLGSLTI=,"{'light_url': 'https://d3o5xota0a1fcr.cloudfront.net/v6/charts/MXLX5PZZIK2EDI5GRS42MAPOEALGSQN7KQNIO2D6US6MJ2DQOFADDZOYRYU54VKEFEEVHRG2BNM62NTAYLGSLTI=', 'dark_url': 'https://d3o5xota0a1fcr.cloudfront.net/v6/charts/J3CFWKXEVDVMY2CBT5ZDQILJIBJV6OJXBNMQFQ6TKU32DRPKGVJDZNVF5WOLBRNVAU5TBYUCLAV4SLPYCD56ZHY='}",0,,Mexico City,Mexico,False,False,False,2024-07-08T01:42:59Z,2024-07-08T01:42:59Z,141.2,"{'id': 's37272020', 'polyline': 'mgftBbv_|QHDHJBTCNKRAd@n@p@@HQ\\AFUNKNCPGPKLI@MJSRK^AZKTGBi@H]LG?s@SGICAOa@c@OQBIFm@RSLKL_A`@IHEPJ\\RNNFZANKZGZQP@\\NPXJDDJ`@Pl@f@PDPEAWYU_@Ma@U[e@Gk@GM@c@Eg@G[c@o@Ki@?WDGn@]TBTFJCLMBMD_@L_@Ze@XYLOHIXKPEd@FHHHN?JI\\Bz@RXPLHLCJc@h@Kd@IJSFGHSf@ARQb@MFUFAACBeABa@OIMUO[Gy@TWRc@TM@MHUFCNBb@HJVHX?dA[L@NHJPNLVLTRT\\RT\\HJABICK?IGK@CGI[WQ[MKUg@CQ@WKi@?GCIOS?KGYMUGc@?QJ]^[LAHHHBNINa@?QDMLSLa@LMHCPMPENOTCF@Z?PFJH@F?TKn@@PRb@HJBZIH?BEDMHOd@OLODSTO`@ANCNMR_@PkADSGYYYQGAS@e@JWLMRgAn@IL?RHVNP\\BFGr@STEL?XJb@XHNVNPVD@PRHNJBHADEDUIGKWSM}@aAEYAWCG?u@_@cASUKWAS@]Va@HERCBBRBJAHGJUAEHYV_@^W\\c@d@SPE^BLDNL@TO\\ATFTXXJNBZAJQNAFQRKVs@^GRC^IRUNIJEAABS@EAWBSB]E_@k@KI]Ag@JYLILE@MNm@b@KBUTATDRHH?DLJL@LALGJA^W^GZHRTXRb@d@J@\\ZRDPEDSMMGOY]YQ_@[I[AQCIAi@Ka@GOG]IO?EMQMY@_@BQX[ZGLDNLH@HCLQ@WJWRQBMhAgAPGz@J', 'resource_state': 3}",149,34,0,"{'pr_elapsed_time': None, 'pr_date': None, 'pr_visibility': None, 'pr_activity_id': None, 'pr_activity_visibility': None, 'effort_count': 0}","{'kom': '21:52', 'qom': '27:33', 'overall': '21:52', 'destination': {'href': 'strava://segments/37272020/leaderboard', 'type': 'overall', 'name': 'All-Time'}}","{'athlete_id': 164638650, 'title': 'Ana Ruiz', 'profile': 'avatar/athlete/large.png', 'effort_description': '5 efforts in the last 90 days', 'effort_count': '5', 'effort_counts': {'overall': '5 efforts', 'female': '5 efforts'}, 'destination': 'strava://segments/37272020/local_legend?categories%5B%5D=overall'}"
4394350,3,Avenida 5 de Mayo Oriente Climb,Run,1300.4,4.5,25.3,2629.1,2570.0,"[19.210921, -99.092715]","[19.211971, -99.081965]",https://d3o5xota0a1fcr.cloudfront.net/v6/charts/TDASHH27RVIEU7J7VX2JOM3CULFBPVU2X5YG56O7YK5JZG3OOYK3CBMZ34JHID6XFGFVG7WRYZVSVQCCED7G6XGN,"{'light_url': 'https://d3o5xota0a1fcr.cloudfront.net/v6/charts/TDASHH27RVIEU7J7VX2JOM3CULFBPVU2X5YG56O7YK5JZG3OOYK3CBMZ34JHID6XFGFVG7WRYZVSVQCCED7G6XGN', 'dark_url': 'https://d3o5xota0a1fcr.cloudfront.net/v6/charts/H67PPOKB3RLPHRINJCYVSLYGN7QBRFDG6LR4SUCVXCHIDOZC6HWL2XO5XV2FL5VNKKOUAOMC53ZP5YY5ZPNCLKHS'}",0,Mexico City,DF,Mexico,False,False,False,2013-06-12T21:17:23Z,2021-05-15T02:13:19Z,66.5,"{'id': 's4394350', 'polyline': 'gcgtBn`y{QD_Eg@mHMoAMi@eAqCe@eAY[[Y_CyAw@w@kCoEa@eAGg@BqAFg@\\gA`AsCd@kAr@oBn@iAdCcE', 'resource_state': 3}",269,19,0,"{'pr_elapsed_time': None, 'pr_date': None, 'pr_visibility': None, 'pr_activity_id': None, 'pr_activity_visibility': None, 'effort_count': 0}","{'kom': '5:59', 'qom': '7:21', 'overall': '5:59', 'destination': {'href': 'strava://segments/4394350/leaderboard', 'type': 'overall', 'name': 'All-Time'}}","{'athlete_id': 34272958, 'title': 'Enrique Melchor', 'profile': 'https://graph.facebook.com/4275375132497346/picture?height=256&width=256', 'effort_description': '34 efforts in the last 90 days', 'effort_count': '34', 'effort_counts': {'overall': '34 efforts', 'female': '1 effort'}, 'destination': 'strava://segments/4394350/local_legend?categories%5B%5D=overall'}"
31155164,3,Romperse el hocico,Run,266.5,-15.3,-3.6,2586.2,2545.5,"[19.200256, -99.068989]","[19.199825, -99.070663]",https://d3o5xota0a1fcr.cloudfront.net/v6/charts/JCDSOI5NEAIX6H45K2TG2U7MMPDSOLEZEXEIC57GLH3EP4RDX7HUTEP7A3SPNZGZSHFCYFE6XOSU5LA3CMWM4EQ=,"{'light_url': 'https://d3o5xota0a1fcr.cloudfront.net/v6/charts/JCDSOI5NEAIX6H45K2TG2U7MMPDSOLEZEXEIC57GLH3EP4RDX7HUTEP7A3SPNZGZSHFCYFE6XOSU5LA3CMWM4EQ=', 'dark_url': 'https://d3o5xota0a1fcr.cloudfront.net/v6/charts/OFRTIOQMMSHB6DPY4X3WHNZUHOM47HTNGNYOS33CRJ64IS4OC65VSIWOPV3QTLK4EX43VVG3WTHKV35YU6KB6UY='}",0,San Bartolomé Xicomulco,Ciudad de México,Mexico,False,False,False,2022-03-03T04:09:03Z,2022-03-03T04:09:03Z,0.0,"{'id': 's31155164', 'polyline': 'q`etBdlt{QRUDAHB@HCPUp@Wd@KZQ`ABXPd@?TJZJBL@bAX', 'resource_state': 3}",200,19,0,"{'pr_elapsed_time': None, 'pr_date': None, 'pr_visibility': None, 'pr_activity_id': None, 'pr_activity_visibility': None, 'effort_count': 0}","{'kom': '1:01', 'qom': '1:08', 'overall': '1:01', 'destination': {'href': 'strava://segments/31155164/leaderboard', 'type': 'overall', 'name': 'All-Time'}}","{'athlete_id': 115814625, 'title': 'Paty Olagui', 'profile': 'https://dgalywyr863hv.cloudfront.net/pictures/athletes/115814625/29072805/6/large.jpg', 'effort_description': '6 efforts in the last 90 days', 'effort_count': '6', 'effort_counts': {'overall': '6 efforts', 'female': '6 efforts'}, 'destination': 'strava://segments/31155164/local_legend?categories%5B%5D=overall'}"
31155159,3,Sube perrito sube ,Run,265.8,15.1,15.4,2586.4,2546.2,"[19.199878, -99.070702]","[19.200259, -99.069012]",https://d3o5xota0a1fcr.cloudfront.net/v6/charts/36EJQ3H5YR3XN6R2BOC3S5SJ4I2VEDPUNYPDW44WKJFZF2ITQGP3KI3SRUGRCP3SRTZ2UZ47RID3ZCXGOR55SXI6,"{'light_url': 'https://d3o5xota0a1fcr.cloudfront.net/v6/charts/36EJQ3H5YR3XN6R2BOC3S5SJ4I2VEDPUNYPDW44WKJFZF2ITQGP3KI3SRUGRCP3SRTZ2UZ47RID3ZCXGOR55SXI6', 'dark_url': 'https://d3o5xota0a1fcr.cloudfront.net/v6/charts/FRN737XQUDCKCYVW43K2TRS6XCBLKN6OXO5DIB66MEYZ5W527QWNPJMAKQC3MNVGBNBYRIC7N62A7F3U54N644EH'}",0,San Bartolomé Xicomulco,Ciudad de México,Mexico,False,False,False,2022-03-03T04:05:22Z,2022-03-03T04:05:22Z,32.4667,"{'id': 's31155159', 'polyline': 'e~dtB|vt{Q_@G{@YGS@QMu@@o@PmAHKHWZo@BSEIE?OHGP', 'resource_state': 3}",173,12,0,"{'pr_elapsed_time': None, 'pr_date': None, 'pr_visibility': None, 'pr_activity_id': None, 'pr_activity_visibility': None, 'effort_count': 0}","{'kom': '1:41', 'qom': '58s', 'overall': '58s', 'destination': {'href': 'strava://segments/31155159/leaderboard', 'type': 'overall', 'name': 'All-Time'}}","{'athlete_id': 115814625, 'title': 'Paty Olagui', 'profile': 'https://dgalywyr863hv.cloudfront.net/pictures/athletes/115814625/29072805/6/large.jpg', 'effort_description': '6 efforts in the last 90 days', 'effort_count': '6', 'effort_counts': {'overall': '6 efforts', 'female': '6 efforts'}, 'destination': 'strava://segments/31155159/local_legend?categories%5B%5D=overall'}"
4945828,3,Camino a San Bartolomé Xicomulco Climb,Run,1419.2,6.7,24.3,2535.9,2440.7,"[19.206382, -99.050288]","[19.208406, -99.053884]",https://d3o5xota0a1fcr.cloudfront.net/v6/charts/5DGZ2V6SV65YMSNRLRVP46NTO4BXWY3Z7ZUL3TDRYPAHBTRSBKMRMOUFPFB27UVLP3TKP3KJGYYNMVQM3TVQSPY=,"{'light_url': 'https://d3o5xota0a1fcr.cloudfront.net/v6/charts/5DGZ2V6SV65YMSNRLRVP46NTO4BXWY3Z7ZUL3TDRYPAHBTRSBKMRMOUFPFB27UVLP3TKP3KJGYYNMVQM3TVQSPY=', 'dark_url': 'https://d3o5xota0a1fcr.cloudfront.net/v6/charts/YXCSHRUQ5BHR3WVLSM7X5HJ6XVOHDMLIIKA6OGTWKK2QMU44RGPW4HAV35LPJQ2NZLVJQRGYCJ5QMMSGHU6K2KI='}",1,Mexico City,D.F.,Mexico,False,False,False,2013-08-01T01:44:10Z,2021-05-15T02:13:40Z,101.6,"{'id': 's4945828', 'polyline': '{fftBhwp{QaBgAaB}@gAa@a@Kc@Cg@@c@@{ANoBCWBe@J[Rq@t@_@VgAh@_@T[TQRSb@WjAQd@W`@Of@Gh@Ad@@f@Df@Jf@n@nBT`@\\Nf@EZUNa@FqALa@`@]pBm@b@Gb@FXRNb@@h@Gh@@d@Ld@XXzB|A', 'resource_state': 3}",81,28,2,"{'pr_elapsed_time': None, 'pr_date': None, 'pr_visibility': None, 'pr_activity_id': None, 'pr_activity_visibility': None, 'effort_count': 0}","{'kom': '7:41', 'qom': '9:56', 'overall': '7:41', 'destination': {'href': 'strava://segments/4945828/leaderboard', 'type': 'overall', 'name': 'All-Time'}}","{'athlete_id': 158677986, 'title': 'Miriam Velez', 'profile': 'https://dgalywyr863hv.cloudfront.net/pictures/athletes/158677986/35417187/6/large.jpg', 'effort_description': '4 efforts in the last 90 days', 'effort_count': '4', 'effort_counts': {'overall': '4 efforts', 'female': '4 efforts'}, 'destination': 'strava://segments/4945828/local_legend?categories%5B%5D=overall'}"
26070867,3,La Ruta del Mole 2020,Run,10009.6,0.0,9.4,2456.7,2368.0,"[19.2151, -99.05104]","[19.21507, -99.05102]",https://d3o5xota0a1fcr.cloudfront.net/v6/charts/SBVF4U73Y6ILINMRVSHHHKTSFBY5FSRE3CU6FM2PHZ6RYWKMUV7GSOCGMGBDGNKO3AMCYD57G2SM2GHCN4IOA7I=,"{'light_url': 'https://d3o5xota0a1fcr.cloudfront.net/v6/charts/SBVF4U73Y6ILINMRVSHHHKTSFBY5FSRE3CU6FM2PHZ6RYWKMUV7GSOCGMGBDGNKO3AMCYD57G2SM2GHCN4IOA7I=', 'dark_url': 'https://d3o5xota0a1fcr.cloudfront.net/v6/charts/ETF2ZKJ3WZ5TSSVA2J4QCHTTZ5TQ4YGSNYIBGIFCWLFZEJVMKUB24W5ORT2QWUCTJUH7ZKXKY6F625G3B4V3N5Y='}",0,Ciudad de México,Ciudad de México,Mexico,False,False,False,2020-10-15T14:15:30Z,2021-05-15T02:25:24Z,137.4,"{'id': 's26070867', 'polyline': 'k}gtB~{p{QpNoHt@YpAo@^UHK`@A?BdNaAjHOXFtH?nBFrAGbHNHsDN_GXsGa@mEGcANmAj@eB`@cA?}@mAeFq@aG?}A`@wBlBqNXc@`@GxBPz@a@p@eEPQ`@OlAFjAPrD|AdA?`@Qz@i@tAwBr@s@NGHIQi@?s@h@eExBwJVoB?kDPmE?}A`@oF?{CPaD@cALqB@}DNwENaDZaC@e@De@AyAGqA]ODt@B`COjCFj@KhAYxIIXStJIhBGpD[rFGlCGbAGfGYfBaBlHy@jEYzBBZIx@qA~BYZe@Rq@NcABWC[MiC}AkBOi@BQF[VGLWfDITMR_@NW@_BS_@?[NSZUz@q@`EcAbHMvA?f@TtC`@bD`@lBj@`B?|@w@hBOh@ObAEh@@f@\\~CDrCk@rR_GGsHYwBBcCNgIFaIl@uDNIJ_@TqAn@u@XkNjH', 'resource_state': 3}",29,25,3,"{'pr_elapsed_time': None, 'pr_date': None, 'pr_visibility': None, 'pr_activity_id': None, 'pr_activity_visibility': None, 'effort_count': 0}","{'kom': '33:44', 'qom': '36:18', 'overall': '33:44', 'destination': {'href': 'strava://segments/26070867/leaderboard', 'type': 'overall', 'name': 'All-Time'}}",
35496222,3,1v. Momoxco ,Run,407.7,0.0,17.0,2437.2,2431.9,"[19.214859, -99.0505]","[19.214876, -99.050484]",https://d3o5xota0a1fcr.cloudfront.net/v6/charts/6BP565XHS53XWX7YVJMN7BYCGCNAF3ZSS7RDV3QMTD6SBD5N5BD6G7LAXMY5SSNWGHZIMAQZ7MGLZ6AHN7PKEVCW,"{'light_url': 'https://d3o5xota0a1fcr.cloudfront.net/v6/charts/6BP565XHS53XWX7YVJMN7BYCGCNAF3ZSS7RDV3QMTD6SBD5N5BD6G7LAXMY5SSNWGHZIMAQZ7MGLZ6AHN7PKEVCW', 'dark_url': 'https://d3o5xota0a1fcr.cloudfront.net/v6/charts/YWWWRGHSYEFKUXKWEWGSU7OCWJAXW65XJPIALOQBUTOBL3YEED3V7MHCWZCD4YSWNNHFMKLNUBYOOUJ4WWUUZLYY'}",0,,Mexico City,Mexico,False,False,False,2023-09-23T08:13:42Z,2023-10-14T13:29:59Z,4.3,"{'id': 's35496222', 'polyline': 'y{gtBrxp{QN_@Hc@C[OUMIUGWAe@NwBpASXEP?ZDPNTVLVF`@INGpBmA', 'resource_state': 3}",26800,184,0,"{'pr_elapsed_time': None, 'pr_date': None, 'pr_visibility': None, 'pr_activity_id': None, 'pr_activity_visibility': None, 'effort_count': 0}","{'kom': '58s', 'qom': '1:12', 'overall': '58s', 'destination': {'href': 'strava://segments/35496222/leaderboard', 'type': 'overall', 'name': 'All-Time'}}","{'athlete_id': 132659687, 'title': 'Strava Athlete', 'profile': 'avatar/athlete/large.png', 'effort_description': '238 efforts in the last 90 days', 'effort_count': '238', 'effort_counts': {'overall': '238 efforts', 'female': '146 efforts'}, 'destination': 'strava://segments/35496222/local_legend?categories%5B%5D=overall'}"
6586741,3,España Climb,Run,749.2,7.8,13.7,2368.2,2310.1,"[19.198697, -99.005301]","[19.192437, -99.007372]",https://d3o5xota0a1fcr.cloudfront.net/v6/charts/N2XU6Q3IKT26WLJ57ARUITUMYET3AAKJU7ZCUHEF2O6KRPIYRRKSIT5UNFMRJ2I7WE36Y6JEWNVDNO6SQ64V7NUC,"{'light_url': 'https://d3o5xota0a1fcr.cloudfront.net/v6/charts/N2XU6Q3IKT26WLJ57ARUITUMYET3AAKJU7ZCUHEF2O6KRPIYRRKSIT5UNFMRJ2I7WE36Y6JEWNVDNO6SQ64V7NUC', 'dark_url': 'https://d3o5xota0a1fcr.cloudfront.net/v6/charts/QG732R3WCLFARWGTEW6GWVJUENFVSYAQFHE22GX6AOZSK7N7QKVRQYJ3G5JS6V36LW3SK7SEP2RLPDNEX4RJGDNF'}",0,Mexico City,D.F.,Mexico,False,False,False,2014-02-03T14:26:56Z,2021-05-15T02:14:38Z,58.1,"{'id': 's6586741', 'polyline': 'yvdtBd~g{QV@RDN?VDFDnAPXHDDN?l@NVBXFFFZJJAJDTB~Ab@T?l@HV?RBJFVHj@HHDd@HDDHBHFL@`@Rb@LTN`@DPFBBPDHLTJPBJHH?n@NN@VHZDTL`@HLLf@?LB', 'resource_state': 3}",33,20,0,"{'pr_elapsed_time': None, 'pr_date': None, 'pr_visibility': None, 'pr_activity_id': None, 'pr_activity_visibility': None, 'effort_count': 0}","{'kom': '4:07', 'qom': '5:14', 'overall': '4:07', 'destination': {'href': 'strava://segments/6586741/leaderboard', 'type': 'overall', 'name': 'All-Time'}}","{'athlete_id': 144630811, 'title': 'Tortuga Charly', 'profile': 'https://dgalywyr863hv.cloudfront.net/pictures/athletes/144630811/35551361/1/large.jpg', 'effort_description': '1 effort in the last 90 days', 'effort_count': '1', 'effort_counts': {'overall': '1 effort', 'female': '1 effort'}, 'destination': 'strava://segments/6586741/local_legend?categories%5B%5D=overall'}"
