id,resource_state,name,climb_category,climb_category_desc,avg_grade,start_latlng,end_latlng,elev_difference,distance,points,starred,elevation_profile,local_legend_enabled,classification
6641735,2,Ignacio Aldama Climb,1.0,4,4.0,"[19.216857, -99.131298]","[19.19988, -99.142123]",101.7,2528.7,ihhtBrq`|QlBnBxAjA|@n@jLhHdAf@jA`@f@JlALfEXj@?j@E~B]rAOh@EtABf@Hd@Pd@V`@X~@v@vDnDbBnAhBbAd@RlAd@nAZpATdDTtA?|GElAFf@Df@JfAb@^T\Xv@z@T`@Pd@\hAVlADh@CrAYlEYzF,False,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/H4QTFTT3U5AKV5CLVOWTQFSB6NDV6GDMHGCTFAC53BFWDLS7EBCZFDVB72SVCCK63S55FFBUEL7USYXS43NOXUBA,True,other
37271983,2,circuito monte sur 🏃‍♂️,0.0,NC,0.0,"[19.206535, -99.126926]","[19.206525, -99.126903]",16.2,1322.8,ygftBhv_|QRBJH@DIf@IPI\?LDL`@b@@DCDBRUVQ?CDED?NK`@EBS?[PG^?h@IROHYBUCi@FI?a@UOQISGKa@Mc@Tw@h@SZSR_@NEHCNBLHNPHPBNAREn@]TIDAVBDHHBFJLLRJJNRJNVA@BFLNVLNAFEDI?GIa@_@a@e@YIQQSEKEUO]Cm@KUAOCI[a@AOIe@?QDKHGVKDEJ?ZJR@HGFODg@DU\e@p@w@RMZMVA\P,False,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/WADX3FIVC4H3UFCT2JYJ7DUWRW7BNK4HABXL43I32XOHNYMFRZKOEKB4IQ64PZIWM4ZZBHMM3PR4EEECMC23XJHG,True,other
37272020,2,5K (4 vueltas) Montesur ,0.0,NC,-0.0,"[19.206476, -99.126898]","[19.20653, -99.126951]",21.4,4945.3,mgftBbv_|QHDHJBTCNKRAd@n@p@@HQ\AFUNKNCPGPKLI@MJSRK^AZKTGBi@H]LG?s@SGICAOa@c@OQBIFm@RSLKL_A`@IHEPJ\RNNFZANKZGZQP@\NPXJDDJ`@Pl@f@PDPEAWYU_@Ma@U[e@Gk@GM@c@Eg@G[c@o@Ki@?WDGn@]TBTFJCLMBMD_@L_@Ze@XYLOHIXKPEd@FHHHN?JI\Bz@RXPLHLCJc@h@Kd@IJSFGHSf@ARQb@MFUFAACBeABa@OIMUO[Gy@TWRc@TM@MHUFCNBb@HJVHX?dA[L@NHJPNLVLTRT\RT\HJABICK?IGK@CGI[WQ[MKUg@CQ@WKi@?GCIOS?KGYMUGc@?QJ]^[LAHHHBNINa@?QDMLSLa@LMHCPMPENOTCF@Z?PFJH@F?TKn@@PRb@HJBZIH?BEDMHOd@OLODSTO`@ANCNMR_@PkADSGYYYQGAS@e@JWLMRgAn@IL?RHVNP\BFGr@STEL?XJb@XHNVNPVD@PRHNJBHADEDUIGKWSM}@aAEYAWCG?u@_@cASUKWAS@]Va@HERCBBRBJAHGJUAEHYV_@^W\c@d@SPE^BLDNL@TO\ATFTXXJNBZAJQNAFQRKVs@^GRC^IRUNIJEAABS@EAWBSB]E_@k@KI]Ag@JYLILE@MNm@b@KBUTATDRHH?DLJL@LALGJA^W^GZHRTXRb@d@J@\ZRDPEDSMMGOY]YQ_@[I[AQCIAi@Ka@GOG]IO?EMQMY@_@BQX[ZGLDNLH@HCLQ@WJWRQBMhAgAPGz@J,False,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/MXLX5PZZIK2EDI5GRS42MAPOEALGSQN7KQNIO2D6US6MJ2DQOFADDZOYRYU54VKEFEEVHRG2BNM62NTAYLGSLTI=,True,other
4394350,2,Avenida 5 de Mayo Oriente Climb,0.0,NC,4.5,"[19.210921, -99.092715]","[19.211971, -99.081965]",59.1,1300.4,gcgtBn`y{QD_Eg@mHMoAMi@eAqCe@eAY[[Y_CyAw@w@kCoEa@eAGg@BqAFg@\gA`AsCd@kAr@oBn@iAdCcE,False,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/TDASHH27RVIEU7J7VX2JOM3CULFBPVU2X5YG56O7YK5JZG3OOYK3CBMZ34JHID6XFGFVG7WRYZVSVQCCED7G6XGN,True,other
31155164,2,Romperse el hocico,0.0,NC,-15.3,"[19.200256, -99.068989]","[19.199825, -99.070663]",40.7,266.5,q`etBdlt{QRUDAHB@HCPUp@Wd@KZQ`ABXPd@?TJZJBL@bAX,False,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/VMFEP7GECKWNQEJXSQGCJD6KZGOQJEQDGXDHLDTRPSBQVA565QZBR575X2FABJ7U7SLQXUPLVVLGEAMUL6ZTYDA=,True,other
31155159,2,Sube perrito sube ,0.0,NC,15.1,"[19.199878, -99.070702]","[19.200259, -99.069012]",40.2,265.8,e~dtB|vt{Q_@G{@YGS@QMu@@o@PmAHKHWZo@BSEIE?OHGP,False,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/5FZHSJ7XBA3DETB5N6TDK5MDKNMHW34UMWHZLF653AAJZLHIXVSXCR5CQZT3OTEB2N7DKJQ4VEWT6VD7BR4OXZQT,True,other
4945828,2,Camino a San Bartolomé Xicomulco Climb,1.0,4,6.7,"[19.206382, -99.050288]","[19.208406, -99.053884]",95.2,1419.2,{fftBhwp{QaBgAaB}@gAa@a@Kc@Cg@@c@@{ANoBCWBe@J[Rq@t@_@VgAh@_@T[TQRSb@WjAQd@W`@Of@Gh@Ad@@f@Df@Jf@n@nBT`@\Nf@EZUNa@FqALa@`@]pBm@b@Gb@FXRNb@@h@Gh@@d@Ld@XXzB|A,False,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/5DGZ2V6SV65YMSNRLRVP46NTO4BXWY3Z7ZUL3TDRYPAHBTRSBKMRMOUFPFB27UVLP3TKP3KJGYYNMVQM3TVQSPY=,True,other
26070867,2,La Ruta del Mole 2020,0.0,NC,0.0,"[19.2151, -99.05104]","[19.21507, -99.05102]",88.7,10009.6,k}gtB~{p{QpNoHt@YpAo@^UHK`@A?BdNaAjHOXFtH?nBFrAGbHNHsDN_GXsGa@mEGcANmAj@eB`@cA?}@mAeFq@aG?}A`@wBlBqNXc@`@GxBPz@a@p@eEPQ`@OlAFjAPrD|AdA?`@Qz@i@tAwBr@s@NGHIQi@?s@h@eExBwJVoB?kDPmE?}A`@oF?{CPaD@cALqB@}DNwENaDZaC@e@De@AyAGqA]ODt@B`COjCFj@KhAYxIIXStJIhBGpD[rFGlCGbAGfGYfBaBlHy@jEYzBBZIx@qA~BYZe@Rq@NcABWC[MiC}AkBOi@BQF[VGLWfDITMR_@NW@_BS_@?[NSZUz@q@`EcAbHMvA?f@TtC`@bD`@lBj@`B?|@w@hBOh@ObAEh@@f@\~CDrCk@rR_GGsHYwBBcCNgIFaIl@uDNIJ_@TqAn@u@XkNjH,False,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/D6OWADZ2B6ZL4WEJVGUHHRK5A4DOLN2HIV7T7IQZEMQGOTRBMPXAZFL6IX3CVVGOP2HPDI3IGDZLXYIFYZMXWTG2,True,other
35496222,2,1v. Momoxco ,0.0,NC,0.0,"[19.214859, -99.0505]","[19.214876, -99.050484]",5.3,407.7,y{gtBrxp{QN_@Hc@C[OUMIUGWAe@NwBpASXEP?ZDPNTVLVF`@INGpBmA,False,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/J3UV7KQ5UTRYW4TJPQDM7ANVZQRUPWRI3ODIST3RH6DRJUUWNVJPBH7YHHX4FY2KGZY4Z4VICNTZN5MO2QYTIQFS,True,other
6586741,2,España Climb,0.0,NC,7.8,"[19.198697, -99.005301]","[19.192437, -99.007372]",58.1,749.2,yvdtBd~g{QV@RDN?VDFDnAPXHDDN?l@NVBXFFFZJJAJDTB~Ab@T?l@HV?RBJFVHj@HHDd@HDDHBHFL@`@Rb@LTN`@DPFBBPDHLTJPBJHH?n@NN@VHZDTL`@HLLf@?LB,False,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/N2XU6Q3IKT26WLJ57ARUITUMYET3AAKJU7ZCUHEF2O6KRPIYRRKSIT5UNFMRJ2I7WE36Y6JEWNVDNO6SQ64V7NUC,True,other
